timestamp,id,vote
1689856178646,WvnUtw4OcsU,2
1689856193776,Fy_86XuWcNM,2
1689856267533,ADjuaiUfeQE,3
1689856282795,ZagD0lftHlo,3
1689856301934,uF-vQqNhQXk,2
1689856374677,qguECNF2Olo,1
1689856534007,6sQDRBdKNSY,4
1689856790300,TQkJkU7yFCo,3
1689856833000,WdWAP0nIVvo,3
1689857015313,nx4sNfpt9Yc,4
1689857128662,e9-zkvpTtWQ,3
1689857181421,LZK9OYYc-tM,3
1689857206564,D0LkqvWeJtQ,4
1689857208303,MtIBgnn9RmM,4
1689857228606,1S8Qls8mA_E,2
1689857249762,sRtsNyXD9bo,3
1689857276504,38pV-QMkZNI,4
1689857277680,dNP_YdBfZW4,4
1689857308786,0HW39lOedkM,4
1689857321062,iOIRXp44sjw,3
1689857376850,nBm-Wg6LRto,3
1689857377117,YbdnbtJsyqs,3
1689857384773,3c4TAws0iKE,3
1689857407335,scKJtwJoozU,4
1689857409754,NnkfZNrkbX8,3
1689857414932,D5-rXHhEfwE,5
1689857435945,l-Ig8iRHRbg,3
1689857442766,1W7VkuBl8A4,3
1689857478439,f2nH9UHudcE,4
1689857517679,J7LulpNbDpk,4
1689857814797,g9UN8HAYTBg,4
1689857836904,AoVqHwHOm6Y,3
1689858204860,eBDohJ6G8jc,4
1689858273006,oMC5cU85Aj0,4
1689858344849,KXjgB-9KaAM,3
1689858358561,iiRte8nw9ig,4
1689858358600,vClDUfrhFAk,2
1689858360517,epTI19zbw6U,2
1689858366989,7n8EL1MSKTU,3
1689858372014,0SJyrpwlViU,5
1689858382671,um0DjSdWJTk,2
1689858400434,G5K70nCGtxU,2
1689858401449,E6wFN9t78Yg,4
1689858402485,WSv7jib1UoY,2
1689858405159,C7Vm2t3ksbY,3
1689858409812,trnfyj6_cl0,3
1689858415348,UUuyPHRiYqw,2
1689858419588,v5JmxW6SnRE,3
1689858423340,s6zW0-X8IJU,3
1689858425079,AlIE34Q9j1o,5
1689858426993,313YHO1HjuU,3
1689858432256,nk6nxXRpP4Y,3
1689858433042,n4iXSGm4gH8,4
1689858436750,E6SPoFLZPo4,2
1689858440462,sJGexnkMC98,2
1689858443402,jiLAE10-12s,1
1689858444480,nBm-Wg6LRto,3
1689858446123,7n8EL1MSKTU,2
1689858448907,DydYvdNEtS0,2
1689858451315,4s33UskuwgI,3
1689858452695,Fy_nXJrl9ng,2
1689858458325,vE3qW7f80Ig,2
